feature_name,importance_gain,importance_split,run
AccountBalance,7.443910002708435,6,1
ValueSavings,0.0,0,1
Age,59.12130206823349,28,1
Duration,37.92217603325844,22,1
Mostvaluableavailableasset,23.590438097715378,14,1
CreditAmount,37.579847037792206,30,1
Sex&Marital_Status,0.0,0,1
PaymentStatusofPreviousCredit,0.0,0,1
Lengthofcurrentemployment,1.5184600353240967,1,1
Purpose,12.064212888479233,13,1
Instalmentpercent,3.1104979813098907,5,1
ConcurrentCredits,0.0,0,1
Typeofapartment,0.0,0,1
NoofCreditatthisBank,0.0,0,1
Guarantors,0.0,0,1
Occupation,0.0,0,1
Noofdependents,0.0,0,1
DurationinCurrentaddress,93.46434330940247,31,1
AccountBalance,15.426888108253479,10,2
ValueSavings,0.0,0,2
Age,50.22312796115875,29,2
Duration,43.290443032979965,31,2
Mostvaluableavailableasset,1.8892520070075989,2,2
CreditAmount,74.6665580868721,48,2
Sex&Marital_Status,0.0,0,2
PaymentStatusofPreviousCredit,0.0,0,2
Lengthofcurrentemployment,0.9865760207176208,1,2
Purpose,10.038416117429733,9,2
Instalmentpercent,7.367832958698273,6,2
ConcurrentCredits,0.0,0,2
Typeofapartment,0.0,0,2
NoofCreditatthisBank,0.0,0,2
Guarantors,0.0,0,2
Occupation,0.0,0,2
Noofdependents,0.0,0,2
DurationinCurrentaddress,20.30065906047821,14,2
AccountBalance,73.81410932540894,27,3
ValueSavings,0.0,0,3
Age,20.700437054038048,17,3
Duration,9.942042231559753,8,3
Mostvaluableavailableasset,4.00636300444603,5,3
CreditAmount,63.55337792634964,39,3
Sex&Marital_Status,0.0,0,3
PaymentStatusofPreviousCredit,0.0,0,3
Lengthofcurrentemployment,2.23880797624588,3,3
Purpose,6.730330049991608,7,3
Instalmentpercent,30.777753055095673,18,3
ConcurrentCredits,0.0,0,3
Typeofapartment,0.0,0,3
NoofCreditatthisBank,0.0,0,3
Guarantors,0.0,0,3
Occupation,0.0,0,3
Noofdependents,0.0,0,3
DurationinCurrentaddress,60.69839644432068,26,3
AccountBalance,24.460666000843048,14,4
ValueSavings,0.0,0,4
Age,49.23753011226654,27,4
Duration,55.841087996959686,29,4
Mostvaluableavailableasset,10.819210827350616,6,4
CreditAmount,47.270814031362534,38,4
Sex&Marital_Status,0.0,0,4
PaymentStatusofPreviousCredit,0.0,0,4
Lengthofcurrentemployment,1.2258700132369995,1,4
Purpose,31.82644671201706,15,4
Instalmentpercent,13.642494887113571,12,4
ConcurrentCredits,0.0,0,4
Typeofapartment,0.0,0,4
NoofCreditatthisBank,0.0,0,4
Guarantors,0.0,0,4
Occupation,0.0,0,4
Noofdependents,0.0,0,4
DurationinCurrentaddress,8.778867959976196,8,4
AccountBalance,16.212688237428665,14,5
ValueSavings,0.0,0,5
Age,18.614372849464417,14,5
Duration,20.182103246450424,18,5
Mostvaluableavailableasset,5.708790183067322,3,5
CreditAmount,120.593571215868,72,5
Sex&Marital_Status,0.0,0,5
PaymentStatusofPreviousCredit,0.0,0,5
Lengthofcurrentemployment,4.17534214258194,3,5
Purpose,15.740564912557602,11,5
Instalmentpercent,8.900599956512451,5,5
ConcurrentCredits,0.0,0,5
Typeofapartment,0.0,0,5
NoofCreditatthisBank,0.0,0,5
Guarantors,0.0,0,5
Occupation,0.0,0,5
Noofdependents,0.0,0,5
DurationinCurrentaddress,12.36978380382061,10,5
AccountBalance,16.117278397083282,12,6
ValueSavings,0.0,0,6
Age,23.281192749738693,16,6
Duration,20.839808076620102,16,6
Mostvaluableavailableasset,10.46567702293396,8,6
CreditAmount,52.88480070233345,41,6
Sex&Marital_Status,0.0,0,6
PaymentStatusofPreviousCredit,0.0,0,6
Lengthofcurrentemployment,6.2589898109436035,3,6
Purpose,52.207161992788315,28,6
Instalmentpercent,16.085401132702827,14,6
ConcurrentCredits,0.0,0,6
Typeofapartment,0.0,0,6
NoofCreditatthisBank,0.0,0,6
Guarantors,0.0,0,6
Occupation,0.0,0,6
Noofdependents,0.0,0,6
DurationinCurrentaddress,15.237321823835373,12,6
AccountBalance,6.687316864728928,7,7
ValueSavings,0.0,0,7
Age,43.75531196594238,29,7
Duration,53.77393886446953,37,7
Mostvaluableavailableasset,4.105139970779419,2,7
CreditAmount,57.37245875597,40,7
Sex&Marital_Status,0.0,0,7
PaymentStatusofPreviousCredit,0.0,0,7
Lengthofcurrentemployment,5.476590037345886,4,7
Purpose,2.391784965991974,2,7
Instalmentpercent,12.14921686053276,9,7
ConcurrentCredits,0.0,0,7
Typeofapartment,0.0,0,7
NoofCreditatthisBank,0.0,0,7
Guarantors,0.0,0,7
Occupation,0.0,0,7
Noofdependents,0.0,0,7
DurationinCurrentaddress,28.489081025123596,20,7
AccountBalance,6.549187019467354,8,8
ValueSavings,0.0,0,8
Age,21.84760820865631,21,8
Duration,22.02271407842636,19,8
Mostvaluableavailableasset,19.471781224012375,13,8
CreditAmount,55.520803943276405,46,8
Sex&Marital_Status,0.0,0,8
